date,discharge_m3_per_s
1883-10-01T00:00:00,64.8
1883-10-02T00:00:00,63.8
1883-10-03T00:00:00,66.6
1883-10-04T00:00:00,62.8
1883-10-05T00:00:00,60.2
1883-10-06T00:00:00,58.9
1883-10-07T00:00:00,60.2
1883-10-08T00:00:00,48.8
1883-10-09T00:00:00,39.6
1883-10-10T00:00:00,39.0
1883-10-11T00:00:00,40.5
1883-10-12T00:00:00,40.3
1883-10-13T00:00:00,40.3
1883-10-14T00:00:00,40.7
1883-10-15T00:00:00,38.8
1883-10-16T00:00:00,46.3
1883-10-17T00:00:00,74.7
1883-10-18T00:00:00,84.4
1883-10-19T00:00:00,82.2
1883-10-20T00:00:00,80.2
1883-10-21T00:00:00,72.4
1883-10-22T00:00:00,63.0
1883-10-23T00:00:00,57.0
1883-10-24T00:00:00,49.4
1883-10-25T00:00:00,53.6
1883-10-26T00:00:00,61.9
1883-10-27T00:00:00,55.7
1883-10-28T00:00:00,54.2
1883-10-29T00:00:00,57.3
1883-10-30T00:00:00,57.3
1883-10-31T00:00:00,47.4
1883-11-01T00:00:00,46.7
1883-11-02T00:00:00,48.7
1883-11-03T00:00:00,45.8
1883-11-04T00:00:00,48.7
1883-11-05T00:00:00,50.1
1883-11-06T00:00:00,65.2
1883-11-07T00:00:00,102.0
1883-11-08T00:00:00,111.0
1883-11-09T00:00:00,110.0
1883-11-10T00:00:00,110.0
1883-11-11T00:00:00,103.0
1883-11-12T00:00:00,88.4
1883-11-13T00:00:00,72.7
1883-11-14T00:00:00,63.5
1883-11-15T00:00:00,61.7
1883-11-16T00:00:00,57.5
1883-11-17T00:00:00,66.7
1883-11-18T00:00:00,83.7
1883-11-19T00:00:00,101.0
1883-11-20T00:00:00,103.0
1883-11-21T00:00:00,103.0
1883-11-22T00:00:00,103.0
1883-11-23T00:00:00,105.0
1883-11-24T00:00:00,125.0
1883-11-25T00:00:00,159.0
1883-11-26T00:00:00,187.0
1883-11-27T00:00:00,220.0
1883-11-28T00:00:00,201.0
1883-11-29T00:00:00,168.0
1883-11-30T00:00:00,143.0
1883-12-01T00:00:00,125.0
1883-12-02T00:00:00,117.0
1883-12-03T00:00:00,113.0
1883-12-04T00:00:00,112.0
1883-12-05T00:00:00,103.0
1883-12-06T00:00:00,97.3
1883-12-07T00:00:00,86.6
1883-12-08T00:00:00,68.9
1883-12-09T00:00:00,73.4
1883-12-10T00:00:00,71.3
1883-12-11T00:00:00,75.8
1883-12-12T00:00:00,89.3
1883-12-13T00:00:00,93.7
1883-12-14T00:00:00,88.6
1883-12-15T00:00:00,84.5
1883-12-16T00:00:00,79.5
1883-12-17T00:00:00,75.8
1883-12-18T00:00:00,73.9
1883-12-19T00:00:00,72.1
1883-12-20T00:00:00,64.3
1883-12-21T00:00:00,63.8
1883-12-22T00:00:00,61.5
1883-12-23T00:00:00,59.0
1883-12-24T00:00:00,61.5
1883-12-25T00:00:00,59.0
1883-12-26T00:00:00,54.9
1883-12-27T00:00:00,58.5
1883-12-28T00:00:00,56.5
1883-12-29T00:00:00,58.8
1883-12-30T00:00:00,58.5
