date,discharge_m3_per_s
2006-01-28T00:00:00,192.0
2006-01-29T00:00:00,192.315
2006-01-30T00:00:00,187.25
2006-01-31T00:00:00,163.136
2006-02-01T00:00:00,164.874
2006-02-02T00:00:00,164.072
2006-02-03T00:00:00,167.084
2006-02-04T00:00:00,154.552
2006-02-05T00:00:00,154.925
2006-02-06T00:00:00,158.594
2006-02-07T00:00:00,157.054
2006-02-08T00:00:00,151.527
2006-02-09T00:00:00,154.148
2006-02-10T00:00:00,156.525
2006-02-11T00:00:00,152.918
2006-02-12T00:00:00,147.617
2006-02-13T00:00:00,157.975
2006-02-14T00:00:00,163.799
2006-02-15T00:00:00,180.849
2006-02-16T00:00:00,300.167
2006-02-17T00:00:00,493.038
2006-02-18T00:00:00,581.738
2006-02-19T00:00:00,650.773
2006-02-20T00:00:00,679.369
2006-02-21T00:00:00,687.515
2006-02-22T00:00:00,652.065
2006-02-23T00:00:00,624.665
2006-02-24T00:00:00,555.256
2006-02-25T00:00:00,493.269
2006-02-26T00:00:00,470.506
2006-02-27T00:00:00,431.369
2006-02-28T00:00:00,377.586
2006-03-01T00:00:00,356.152
2006-03-02T00:00:00,344.008
2006-03-03T00:00:00,353.828
2006-03-04T00:00:00,424.537
2006-03-05T00:00:00,658.205
2006-03-06T00:00:00,717.601
2006-03-07T00:00:00,791.964
2006-03-08T00:00:00,753.259
2006-03-09T00:00:00,807.547
2006-03-10T00:00:00,933.044
2006-03-11T00:00:00,1001.107
2006-03-12T00:00:00,1031.453
2006-03-13T00:00:00,1067.525
2006-03-14T00:00:00,1077.219
2006-03-15T00:00:00,990.531
2006-03-16T00:00:00,869.687
2006-03-17T00:00:00,816.809
2006-03-18T00:00:00,806.749
2006-03-19T00:00:00,775.898
2006-03-20T00:00:00,776.847
2006-03-21T00:00:00,732.433
2006-03-22T00:00:00,707.535
2006-03-23T00:00:00,699.627
2006-03-24T00:00:00,685.939
2006-03-25T00:00:00,705.815
2006-03-26T00:00:00,776.122
2006-03-27T00:00:00,844.462
2006-03-28T00:00:00,818.273
2006-03-29T00:00:00,742.667
2006-03-30T00:00:00,809.436
2006-03-31T00:00:00,824.701
2006-04-01T00:00:00,817.771
2006-04-02T00:00:00,797.918
2006-04-03T00:00:00,783.918
2006-04-04T00:00:00,788.091
2006-04-05T00:00:00,745.854
2006-04-06T00:00:00,725.381
2006-04-07T00:00:00,707.097
2006-04-08T00:00:00,676.339
2006-04-09T00:00:00,635.188
2006-04-10T00:00:00,595.95
2006-04-11T00:00:00,535.02
2006-04-12T00:00:00,525.815
2006-04-13T00:00:00,535.321
2006-04-14T00:00:00,505.546
2006-04-15T00:00:00,471.302
2006-04-16T00:00:00,453.503
2006-04-17T00:00:00,430.479
2006-04-18T00:00:00,412.384
2006-04-19T00:00:00,357.244
2006-04-20T00:00:00,357.886
2006-04-21T00:00:00,337.266
2006-04-22T00:00:00,328.733
2006-04-23T00:00:00,323.465
2006-04-24T00:00:00,313.66
2006-04-25T00:00:00,302.854
2006-04-26T00:00:00,295.019
2006-04-27T00:00:00,300.263
2006-04-28T00:00:00,282.003
2006-04-29T00:00:00,260.424
2006-04-30T00:00:00,260.435
2006-05-01T00:00:00,254.215
2006-05-02T00:00:00,250.13
2006-05-03T00:00:00,217.218
2006-05-04T00:00:00,216.97
2006-05-05T00:00:00,216.608
2006-05-06T00:00:00,222.446
2006-05-07T00:00:00,237.033
2006-05-08T00:00:00,259.82
2006-05-09T00:00:00,292.127
2006-05-10T00:00:00,297.169
2006-05-11T00:00:00,389.596
2006-05-12T00:00:00,433.24
2006-05-13T00:00:00,476.469
2006-05-14T00:00:00,449.842
2006-05-15T00:00:00,424.829
2006-05-16T00:00:00,410.291
2006-05-17T00:00:00,379.563
2006-05-18T00:00:00,364.792
2006-05-19T00:00:00,300.425
2006-05-20T00:00:00,330.397
2006-05-21T00:00:00,358.541
2006-05-22T00:00:00,328.165
2006-05-23T00:00:00,300.119
2006-05-24T00:00:00,285.546
2006-05-25T00:00:00,261.623
2006-05-26T00:00:00,266.919
2006-05-27T00:00:00,234.636
2006-05-28T00:00:00,234.044
2006-05-29T00:00:00,236.578
2006-05-30T00:00:00,218.57
2006-05-31T00:00:00,220.181
2006-06-01T00:00:00,220.696
2006-06-02T00:00:00,224.192
2006-06-03T00:00:00,216.551
2006-06-04T00:00:00,211.484
2006-06-05T00:00:00,194.333
2006-06-06T00:00:00,193.562
2006-06-07T00:00:00,187.622
2006-06-08T00:00:00,177.317
2006-06-09T00:00:00,166.648
2006-06-10T00:00:00,162.19
2006-06-11T00:00:00,145.205
2006-06-12T00:00:00,150.818
2006-06-13T00:00:00,120.943
2006-06-14T00:00:00,112.634
2006-06-15T00:00:00,132.113
2006-06-16T00:00:00,130.016
2006-06-17T00:00:00,126.136
2006-06-18T00:00:00,117.009
2006-06-19T00:00:00,116.24
2006-06-20T00:00:00,117.501
2006-06-21T00:00:00,110.682
2006-06-22T00:00:00,111.14
2006-06-23T00:00:00,113.917
2006-06-24T00:00:00,112.145
2006-06-25T00:00:00,134.836
2006-06-26T00:00:00,137.236
2006-06-27T00:00:00,119.519
2006-06-28T00:00:00,115.838
2006-06-29T00:00:00,108.967
2006-06-30T00:00:00,102.588
2006-07-01T00:00:00,91.204
2006-07-02T00:00:00,82.908
2006-07-03T00:00:00,92.307
2006-07-04T00:00:00,98.7
2006-07-05T00:00:00,110.717
2006-07-06T00:00:00,123.318
2006-07-07T00:00:00,175.083
2006-07-08T00:00:00,130.72
2006-07-09T00:00:00,135.665
2006-07-10T00:00:00,136.311
2006-07-11T00:00:00,139.482
2006-07-12T00:00:00,126.496
2006-07-13T00:00:00,122.938
2006-07-14T00:00:00,111.86
2006-07-15T00:00:00,119.107
2006-07-16T00:00:00,114.163
2006-07-17T00:00:00,115.071
2006-07-18T00:00:00,97.447
2006-07-19T00:00:00,101.762
2006-07-20T00:00:00,119.251
2006-07-21T00:00:00,112.716
2006-07-22T00:00:00,111.373
2006-07-23T00:00:00,129.324
2006-07-24T00:00:00,110.129
2006-07-25T00:00:00,106.246
2006-07-26T00:00:00,95.996
2006-07-27T00:00:00,127.949
2006-07-28T00:00:00,103.139
2006-07-29T00:00:00,112.783
